Alameda, 309287.22402413783, 5609201.643118202
Alcaucín, 2510300.5610618643, 3681703.8596154265
Alfarnate, 2124524.568523399, 4363571.343466884
Alfarnatejo, 2038591.2800441347, 4334404.827245341
Algarrobo, 2382763.3808088778, 2995609.796040961
Algatocín, -1464994.4660862265, 2314949.7909226026
Alhaurín de la Torre, 490662.1714687348, 3191936.553367144
Alhaurín el Grande, 77489.99899385755, 3134288.275167694
Almáchar, 1909792.9495690456, 3525634.1479779882
Almargen, -1491693.8435767984, 4650245.340434271
Almogía, 699843.4314662972, 4046777.450661769
Álora, 22158.742057097512, 4159367.4240772245
Alozaina, -521486.2559889269, 3558558.789348331
Alpandeire, -1455218.6465663337, 2720917.8057583096
Antequera, 755642.7546963944, 4899548.00379309
Árchez, 2746596.0231761937, 3116986.824548474
Archidona, 1704018.8822227838, 4958820.040324777
Ardales, -579129.5737074885, 4301118.365908175
Arenas, 2501006.973012777, 3171451.8044654476
Arriate, -1633095.1817170554, 3596344.6348770326
Atajate, -1585192.069883211, 2687723.490404446
Benadalid, -1547232.3920169245, 2487832.959550777
Benahavís, -796334.190191634, 2301085.104782887
Benalauría, -1492866.9706685257, 2442892.8956710952
Benalmádena, 561264.2948739554, 2833008.2117427127
Benamargosa, 2051044.6067108589, 3587141.268629717
Benamocarra, 2056963.3795079729, 3339575.739889786
Benaoján, -1824678.5523795683, 3054913.410243902
Benarrabá, -1394935.658681866, 2207433.645329484
El Borge, 1855043.2441113486, 3588301.1729192613
El Burgo, -912031.2784667736, 3808619.323743734
Campillos, -764715.5091486356, 5014222.249685313
Canillas de Aceituno, 2545805.6235428452, 3486474.193624233
Canillas de Albaida, 2784634.899172105, 3133866.891008586
Cañete la Real, -1441155.464827614, 4452846.169755581
Carratraca, -453180.5715052882, 4195491.1652817065
Cartajima, -1347828.3898648012, 2848940.5640869504
Cártama, 289459.5202235911, 3499955.4601029293
Casabermeja, 1232016.9312907828, 4242833.797962506
Casarabonela, -504183.4025997747, 3857880.281441557
Casares, -1051493.7944618494, 1674828.356089649
Coín, -146088.1786491257, 3235499.2377228644
Colmenar, 1638029.7144124666, 4153488.393045753
Comares, 1882125.445492717, 3759258.478346163
Cómpeta, 2777887.0473374412, 3051008.2692041174
Cortes de la Frontera, -1762982.7510568853, 2418534.328152895
Cuevas Bajas, 1272571.521633754, 5551657.346470413
Cuevas de San Marcos, 1699066.7575967025, 5531032.206518301
Cuevas del Becerro, -1415901.3931073446, 4091384.805086168
Cútar, 1915425.1027290314, 3643885.7442951286
Estepona, -792685.9852691888, 1689741.7331810792
Faraján, -1369283.82789478, 2655255.5353004923
Frigiliana, 2859184.8094331496, 2680282.513534573
Fuengirola, 224759.83586686332, 2563742.369697876
Fuente de Piedra, -100068.2462772291, 5380110.42807265
Gaucín, -1382324.7843300968, 1994620.3618773902
Genalguacil, -1290070.7841369864, 2237105.089018294
Guaro, -391295.4563316865, 3186756.916185012
Humilladero, 45456.75696076879, 5310437.3919710275
Igualeja, -1221699.6863728806, 2816120.814847289
Istán, -656572.046869523, 2714573.752624804
Iznate, 1935594.2508586505, 3318331.3480638447
Jimera de Líbar, -1695534.5118853464, 2692845.2985754497
Jubrique, -1297853.6244116123, 2359636.0222538095
Júzcar, -1343029.8479556201, 2724771.5959396116
Macharaviaya, 1809550.4799607473, 3310819.1507322807
Malaga, 1021866.0180893259, 3410349.721545363
Manilva, -801178.434716639, 1341348.9959764404
Marbella, -408482.4862686356, 2339375.830235165
Mijas, 230117.54141231795, 2867368.4377710386
Moclinejo, 1688143.3998172667, 3430886.700192558
Mollina, 292936.92067792465, 5340975.844539736
Monda, -365296.5113728081, 3040136.305773824
Montejaque, -1864531.4990742023, 3119494.2450922327
Nerja, 2787896.352801484, 2499324.515900899
Ojén, -384135.1662559081, 2669521.323318771
Parauta, -1296635.6646418027, 2936321.7606863813
Periana, 2273019.4526080866, 3963572.594857163
Pizarra, 15296.840137073734, 3791600.1186771053
Pujerra, -1255616.1232504193, 2687934.065909248
Rincón de la Victoria, 1482634.9571716746, 3215880.9164141007
Riogordo, 1839490.3426106398, 4125497.5700646844
Ronda, -1601520.8168917897, 3325276.063331374
Salares, 2685206.2345239827, 3267690.532735896
Sayalonga, 2548494.1730273976, 3025769.895661769
Sedella, 2681113.068527439, 3320635.6684978097
Sierra de Yeguas, -833362.2610004864, 5280427.402017002
Teba, -985587.9227886, 4705315.014961317
Tolox, -645397.7509870023, 3305023.0974812447
Torremolinos, 593967.8373375617, 2986080.4699126817
Torrox, 2574624.015179413, 2703983.6172872637
Totalán, 1522707.8173460027, 3468749.383187617
Valle de Abdalajís, 133996.3133264475, 4581052.069588013
Vélez-Málaga, 2219231.340816091, 3162891.339436338
Villanueva de Algaidas, 1439421.247388018, 5353517.336368939
Villanueva de Tapia, 2045246.6086635015, 5150056.444224963
Villanueva del Rosario, 1652386.1862794063, 4580113.369875451
Villanueva del Trabuco, 1821946.8044598568, 4644534.113489327
Viñuela, 2308091.5933335163, 3593594.2407312174
Yunquera, -740339.8757976305, 3545938.6408423274
